country,year,patents
China,1971,8
China,1972,10
China,1973,16
China,1974,27
China,1975,16
China,1976,24
China,1977,27
China,1978,20
China,1979,25
China,1980,24
China,1981,26
China,1982,29
China,1983,35
China,1984,30
China,1985,72
China,1986,76
China,1987,78
China,1988,100
China,1989,103
China,1990,159
China,1991,157
China,1992,195
China,1993,178
China,1994,231
China,1995,208
China,1996,290
China,1997,405
China,1998,448
China,1999,605
China,2000,893
China,2001,1255
China,2002,1751
China,2003,2264
China,2004,3232
China,2005,5313
China,2006,6012
China,2007,7710
China,2008,9042
China,2009,10109
China,2010,9916
China,2011,11031
China,2012,11358
Germany,1970,9665
Germany,1971,10285
Germany,1972,12694
Germany,1973,13004
Germany,1974,11110
Germany,1975,11300
Germany,1976,12359
Germany,1977,13608
Germany,1978,14242
Germany,1979,14698
Germany,1980,14507
Germany,1981,14993
Germany,1982,14035
Germany,1983,14575
Germany,1984,15315
Germany,1985,16743
Germany,1986,17849
Germany,1987,18668
Germany,1988,20141
Germany,1989,23493
Germany,1990,21250
Germany,1991,16162
Germany,1992,17761
Germany,1993,18893
Germany,1994,19265
Germany,1995,19870
Germany,1996,21970
Germany,1997,24529
Germany,1998,27250
Germany,1999,28382
Germany,2000,28584
Germany,2001,27305
Germany,2002,27784
Germany,2003,27358
Germany,2004,27683
Germany,2005,28596
Germany,2006,28515
Germany,2007,27909
Germany,2008,27204
Germany,2009,25849
Germany,2010,27419
Germany,2011,28160
Germany,2012,26382
Japan,1970,1160
Japan,1971,1235
Japan,1972,1928
Japan,1973,2825
Japan,1974,7642
Japan,1975,9423
Japan,1976,10025
Japan,1977,10598
Japan,1978,12148
Japan,1979,13955
Japan,1980,15574
Japan,1981,17191
Japan,1982,17336
Japan,1983,18946
Japan,1984,22618
Japan,1985,23954
Japan,1986,23418
Japan,1987,26430
Japan,1988,26173
Japan,1989,27518
Japan,1990,27481
Japan,1991,25543
Japan,1992,23100
Japan,1993,25130
Japan,1994,25383
Japan,1995,27832
Japan,1996,30433
Japan,1997,33501
Japan,1998,33553
Japan,1999,36845
Japan,2000,42418
Japan,2001,41988
Japan,2002,43732
Japan,2003,45408
Japan,2004,49226
Japan,2005,50241
Japan,2006,50880
Japan,2007,50600
Japan,2008,47430
Japan,2009,44808
Japan,2010,49834
Japan,2011,52046
Japan,2012,46291
Republic of Korea,1970,1
Republic of Korea,1972,6
Republic of Korea,1973,18
Republic of Korea,1974,19
Republic of Korea,1975,11
Republic of Korea,1976,22
Republic of Korea,1977,17
Republic of Korea,1978,28
Republic of Korea,1979,39
Republic of Korea,1980,59
Republic of Korea,1981,52
Republic of Korea,1982,75
Republic of Korea,1983,72
Republic of Korea,1984,132
Republic of Korea,1985,131
Republic of Korea,1986,215
Republic of Korea,1987,309
Republic of Korea,1988,484
Republic of Korea,1989,745
Republic of Korea,1990,1078
Republic of Korea,1991,1308
Republic of Korea,1992,1468
Republic of Korea,1993,1996
Republic of Korea,1994,2398
Republic of Korea,1995,3844
Republic of Korea,1996,4384
Republic of Korea,1997,4777
Republic of Korea,1998,4517
Republic of Korea,1999,5637
Republic of Korea,2000,6514
Republic of Korea,2001,7729
Republic of Korea,2002,9754
Republic of Korea,2003,13276
Republic of Korea,2004,16727
Republic of Korea,2005,17736
Republic of Korea,2006,18473
Republic of Korea,2007,18464
Republic of Korea,2008,16496
Republic of Korea,2009,16135
Republic of Korea,2010,19086
Republic of Korea,2011,17765
Republic of Korea,2012,19543
United States of America,1970,5230
United States of America,1971,8071
United States of America,1972,13699
United States of America,1973,19155
United States of America,1974,18475
United States of America,1975,18488
United States of America,1976,18978
United States of America,1977,19065
United States of America,1978,18854
United States of America,1979,17891
United States of America,1980,17550
United States of America,1981,16882
United States of America,1982,16300
United States of America,1983,17221
United States of America,1984,17074
United States of America,1985,18020
United States of America,1986,17504
United States of America,1987,19884
United States of America,1988,20158
United States of America,1989,20379
United States of America,1990,20887
United States of America,1991,19636
United States of America,1992,20345
United States of America,1993,20477
United States of America,1994,23089
United States of America,1995,24140
United States of America,1996,30494
United States of America,1997,37969
United States of America,1998,40343
United States of America,1999,41791
United States of America,2000,45426
United States of America,2001,48987
United States of America,2002,51309
United States of America,2003,54966
United States of America,2004,57395
United States of America,2005,63332
United States of America,2006,64328
United States of America,2007,65658
United States of America,2008,63179
United States of America,2009,74397
United States of America,2010,78078
United States of America,2011,86880
United States of America,2012,92461
,1998,109988
,1999,140339
,2000,165773
,2001,205544
,2002,251238
,2003,278943
,2004,383157
,2005,470342
,2006,586498
,2007,717144
,2008,877611
,2009,1009428
,2010,1504670
,2011,1912151
